segmentnr	original	analyzed
PA_pli-tv-bu-vb_sk3:0.1	Theravāda Vinaya	▁ther a vād a ▁vinay a
PA_pli-tv-bu-vb_sk3:0.2	Mahāvibhaṅga	▁mahā vibhaṃg a
PA_pli-tv-bu-vb_sk3:0.3	Sekhiyakaṇḍa	▁sekh iy akaṇḍ a
PA_pli-tv-bu-vb_sk3:0.4	Parimaṇḍalavagga	▁pari maṇḍal avagga
PA_pli-tv-bu-vb_sk3:0.5	3. Suppaṭicchannasikkhāpada	▁su p paṭicchann asikkhāpad a
PA_pli-tv-bu-vb_sk3:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	▁tena ▁samayena ▁buddho ▁bhagavā ▁sāvatthiyaṃ ▁viharati ▁jetavane ▁ anāthapiṇḍikassa ▁ārām e
PA_pli-tv-bu-vb_sk3:1.2	Tena kho pana samayena chabbaggiyā bhikkhū kāyaṁ vivaritvā antaraghare gacchanti …pe….	▁tena ▁kho ▁pana ▁samayena ▁chabbaggiyā ▁bhikkhū ▁kāy aṃ ▁vivar itvā ▁ antara ghar e ▁gacchanti ▁pe
PA_pli-tv-bu-vb_sk3:1.3.1	“Suppaṭicchanno antaraghare gamissāmīti sikkhā karaṇīyā”ti.	▁su p paṭicchann o ▁ antara ghar e ▁gam issāmīti ▁sikkhā ▁ karaṇīy āti
PA_pli-tv-bu-vb_sk3:1.4	Suppaṭicchannena antaraghare gantabbaṁ.	▁su p paṭicchann ena ▁ antara ghar e ▁gantabb aṃ
PA_pli-tv-bu-vb_sk3:1.5	Yo anādariyaṁ paṭicca kāyaṁ vivaritvā antaraghare gacchati, āpatti dukkaṭassa.	▁yo ▁anādar iyaṃ ▁paṭicca ▁kāy aṃ ▁vivar itvā ▁ antara ghar e ▁gacchati ▁āpatti ▁dukkaṭassa
PA_pli-tv-bu-vb_sk3:1.6.1	Anāpatti—	▁anāpatti
PA_pli-tv-bu-vb_sk3:1.7	asañcicca,	▁as a ñc icc a
PA_pli-tv-bu-vb_sk3:1.8	assatiyā,	▁ assa ti yā
PA_pli-tv-bu-vb_sk3:1.9	ajānantassa,	▁ajānant assa
PA_pli-tv-bu-vb_sk3:1.10	gilānassa,	▁gilān assa
PA_pli-tv-bu-vb_sk3:1.11	āpadāsu,	▁ ā pad āsu
PA_pli-tv-bu-vb_sk3:1.12	ummattakassa,	▁ummattak assa
PA_pli-tv-bu-vb_sk3:1.13	ādikammikassāti.	▁ādi kamm i k assāti
PA_pli-tv-bu-vb_sk3:1.14	Tatiyasikkhāpadaṁ niṭṭhitaṁ.	▁tatiy asikkhāpad aṃ ▁niṭṭhitaṃ
