segmentnr	original	analyzed
PA_pli-tv-pvr_5:0.1	Parivāra	▁parivār a
PA_pli-tv-pvr_5:0.2	5. Samathabheda	▁samath abhed a
PA_pli-tv-pvr_5:0.3	1. Adhikaraṇapariyāyavāra	▁adhikaraṇ a pariyāy avāra
PA_pli-tv-pvr_5:1.1	Vivādādhikaraṇassa—	▁vivād ādhikaraṇ assa
PA_pli-tv-pvr_5:1.2	kiṁ pubbaṅgamaṁ?	▁kiṃ ▁ pubbaṃgam aṃ
PA_pli-tv-pvr_5:1.3	Kati ṭhānāni?	▁kati ▁ṭhān āni
PA_pli-tv-pvr_5:1.4	Kati vatthūni?	▁kati ▁ vatthūni
PA_pli-tv-pvr_5:1.5	Kati bhūmiyo?	▁kati ▁bhūmi yo
PA_pli-tv-pvr_5:1.6	Kati hetū?	▁kati ▁ hetū
PA_pli-tv-pvr_5:1.7	Kati mūlāni?	▁kati ▁mūl āni
PA_pli-tv-pvr_5:1.8	Katihākārehi vivadati?	▁kati hākārehi ▁vi va d ati
PA_pli-tv-pvr_5:1.9	Vivādādhikaraṇaṁ katihi samathehi sammati?	▁vivād ādhikaraṇ aṃ ▁kati hi ▁samath ehi ▁samma ti
PA_pli-tv-pvr_5:2.1	Anuvādādhikaraṇassa—	▁anu vād ādhikaraṇ assa
PA_pli-tv-pvr_5:2.2	kiṁ pubbaṅgamaṁ?	▁kiṃ ▁ pubbaṃgam aṃ
PA_pli-tv-pvr_5:2.3	Kati ṭhānāni?	▁kati ▁ṭhān āni
PA_pli-tv-pvr_5:2.4	Kati vatthūni?	▁kati ▁ vatthūni
PA_pli-tv-pvr_5:2.5	Kati bhūmiyo?	▁kati ▁bhūmi yo
PA_pli-tv-pvr_5:2.6	Kati hetū?	▁kati ▁ hetū
PA_pli-tv-pvr_5:2.7	Kati mūlāni?	▁kati ▁mūl āni
PA_pli-tv-pvr_5:2.8	Katihākārehi anuvadati?	▁kati hākārehi ▁anu va d ati
PA_pli-tv-pvr_5:2.9	Anuvādādhikaraṇaṁ katihi samathehi sammati?	▁anu vād ādhikaraṇ aṃ ▁kati hi ▁samath ehi ▁samma ti
PA_pli-tv-pvr_5:3.1	Āpattādhikaraṇassa—	▁ ā patt ādhikaraṇ assa
PA_pli-tv-pvr_5:3.2	kiṁ pubbaṅgamaṁ?	▁kiṃ ▁ pubbaṃgam aṃ
PA_pli-tv-pvr_5:3.3	Kati ṭhānāni?	▁kati ▁ṭhān āni
PA_pli-tv-pvr_5:3.4	Kati vatthūni?	▁kati ▁ vatthūni
PA_pli-tv-pvr_5:3.5	Kati bhūmiyo?	▁kati ▁bhūmi yo
