segmentnr	original	folio	analyzed
PA_dt_2.8:0.1	Dhātukathā	0	
PA_dt_2.8:0.2	2 Niddesa	0	
PA_dt_2.8:0.3	2.8. Aṭṭhamanaya Vippayuttenasampayuttapadaniddesa	0	
PA_dt_2.8:1.1	Rūpakkhandhena ye dhammā vippayuttā, te dhammā katihi khandhehi katihāyatanehi katihi dhātūhi sampayuttāti?	1	
PA_dt_2.8:1.2	Natthi.	1	
PA_dt_2.8:2.1	Vedanākkhandhena ye dhammā …	2	
PA_dt_2.8:2.2	saññākkhandhena ye dhammā …	2	
PA_dt_2.8:2.3	saṅkhārakkhandhena ye dhammā …	2	
PA_dt_2.8:2.4	viññāṇakkhandhena ye dhammā …pe…	2	
PA_dt_2.8:2.5	saraṇehi dhammehi ye dhammā …	2	
PA_dt_2.8:2.6	araṇehi dhammehi ye dhammā vippayuttā, te dhammā katihi khandhehi katihāyatanehi katihi dhātūhi sampayuttāti?	2	
PA_dt_2.8:2.7	Natthi.	2	
PA_dt_2.8:3.1	Dhammāyatanaṁ dhammadhātu,	3	
PA_dt_2.8:3.2	Atha jīvitaṁ nāmarūpaṁ;	3	
PA_dt_2.8:3.3	Saḷāyatanaṁ jātijarāmataṁ,	3	
PA_dt_2.8:3.4	Dve ca tike na labbhare.	3	
PA_dt_2.8:4.1	Paṭhamantare satta ca,	4	
PA_dt_2.8:4.2	Gocchake dasa aparante;	4	
PA_dt_2.8:4.3	Cuddasa cha ca matthake,	4	
PA_dt_2.8:4.4	Iccete sattacattālīsa dhammā;	4	
PA_dt_2.8:4.5	Samucchede na labbhanti,	4	
PA_dt_2.8:4.6	Moghapucchakena cāti. [47]	4	
PA_dt_2.8:5.1	Vippayuttena sampayuttapadaniddeso aṭṭhamo.	5	
