segmentnr	original	analyzed
PA_bi-vb_pc30:0.1	Theravāda Vinaya	thera vāda vinaya 
PA_bi-vb_pc30:0.2	Bhikkhunivibhaṅga	bhikkhuni vibhaṅga 
PA_bi-vb_pc30:0.3	Pācittiyakaṇḍa	pācittiyakaṇḍa 
PA_bi-vb_pc30:0.4	Naggavagga	nagga vagga 
PA_bi-vb_pc30:0.5	30. Kathinuddhārasikkhāpada	    
PA_bi-vb_pc30:1.1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	tena samayena buddhaḥ bhagavā sāvatthiyam viharati jetavane anāthapiṇḍikassa ārāme 
PA_bi-vb_pc30:1.1.2	Tena kho pana samayena aññatarena upāsakena saṅghaṁ uddissa vihāro kārāpito hoti.	tena kho pana samayena aññatarena upāsakena saṅgham uddissa vihāraḥ kārāpitaḥ hoti 
PA_bi-vb_pc30:1.1.3	So tassa vihārassa mahe ubhatosaṅghassa akālacīvaraṁ dātukāmo hoti.	saḥ tassa vihārassa mahe ubhatas saṅghassa akāla cīvaram dātu kāmaḥ hoti 
PA_bi-vb_pc30:1.1.4	Tena kho pana samayena ubhatosaṅghassa kathinaṁ atthataṁ hoti.	tena kho pana samayena ubhato saṅghassa kathinam atthatam hoti 
PA_bi-vb_pc30:1.1.5	Atha kho so upāsako saṅghaṁ upasaṅkamitvā kathinuddhāraṁ yāci.	atha kho saḥ upāsakaḥ saṅgham upasaṅkamitvā kathin uddhāram yāci 
PA_bi-vb_pc30:1.1.6	Bhagavato etamatthaṁ ārocesuṁ.	bhagavato etam attham ārocesu 
PA_bi-vb_pc30:1.1.7	Atha kho bhagavā etasmiṁ nidāne etasmiṁ pakaraṇe dhammiṁ kathaṁ katvā bhikkhū āmantesi—	atha kho bhagavā etasmim nidāne etasmim pakaraṇe dhammim katham katvā bhikkhū āmantesi 
PA_bi-vb_pc30:1.1.8	“anujānāmi, bhikkhave, kathinaṁ uddharituṁ.	anujānāmi bhikkhave kathinam uddharitu 
PA_bi-vb_pc30:1.1.9	Evañca pana bhikkhave kathinaṁ uddharitabbaṁ.	evam ca pana bhikkhave kathinam uddharitabba 
PA_bi-vb_pc30:1.1.10	Byattena bhikkhunā paṭibalena saṅgho ñāpetabbo—	byattena bhikkhunā paṭibalena saṅghaḥ ñāpetabbaḥ 
PA_bi-vb_pc30:1.1.11	‘Suṇātu me, bhante, saṅgho.	suṇātu me bhante saṅghaḥ 
PA_bi-vb_pc30:1.1.12	Yadi saṅghassa pattakallaṁ, saṅgho kathinaṁ uddhareyya.	yadi saṅghassa pattakalla saṅghaḥ kathinam uddhareyya 
PA_bi-vb_pc30:1.1.13	Esā ñatti.	esā ñatti 
PA_bi-vb_pc30:1.1.14	Suṇātu me, bhante, saṅgho.	suṇātu me bhante saṅghaḥ 
PA_bi-vb_pc30:1.1.15	Saṅgho kathinaṁ uddharati.	saṅghaḥ kathinam uddharati 
PA_bi-vb_pc30:1.1.16	Yassāyasmato khamati kathinassa uddhāro, so tuṇhassa;	yassa ayasmataḥ khamati kathinassa uddhāraḥ saḥ tuṇhassa 
PA_bi-vb_pc30:1.1.17	yassa nakkhamati, so bhāseyya.	yassa na khamati saḥ bhāseyya 
PA_bi-vb_pc30:1.1.18	Ubbhataṁ saṅghena kathinaṁ, khamati saṅghassa, tasmā tuṇhī, evametaṁ dhārayāmī’”ti.	ubbhatam saṅghena khamati saṅghassa tasmai tuṇhī evam etam dhārayāmi iti 
PA_bi-vb_pc30:1.2.1	Atha kho so upāsako bhikkhunisaṅghaṁ upasaṅkamitvā kathinuddhāraṁ yāci.	atha kho saḥ upāsakaḥ bhikkhuni saṅgham upasaṅkamitvā kathin uddhāram yāci 
PA_bi-vb_pc30:1.2.2	Thullanandā bhikkhunī—	thullanandā bhikkhunī 
