segmentnr	original	analyzed
PA_pli-tv-bi-vb_pc44:0.1	Theravāda Vinaya	▁ther a vād a ▁vinay a
PA_pli-tv-bi-vb_pc44:0.2	Bhikkhunivibhaṅga	▁bhikkhu ni vibhaṃg a
PA_pli-tv-bi-vb_pc44:0.3	Pācittiyakaṇḍa	▁pācittiy akaṇḍ a
PA_pli-tv-bi-vb_pc44:0.4	Cittāgāravagga	▁citt ā gār avagga
PA_pli-tv-bi-vb_pc44:0.5	44. Gihiveyyāvaccasikkhāpada	▁gihi v eyyā va cca sikkhāpada
PA_pli-tv-bi-vb_pc44:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	▁tena ▁samayena ▁buddho ▁bhagavā ▁sāvatthiyaṃ ▁viharati ▁jetavane ▁ anāthapiṇḍikassa ▁ārām e
PA_pli-tv-bi-vb_pc44:1.2	Tena kho pana samayena bhikkhuniyo gihiveyyāvaccaṁ karonti.	▁tena ▁kho ▁pana ▁samayena ▁bhikkhuniyo ▁gihi v eyyā va cc aṃ ▁karonti
PA_pli-tv-bi-vb_pc44:1.3	Yā tā bhikkhuniyo appicchā …pe… tā ujjhāyanti khiyyanti vipācenti—	▁yā ▁tā ▁bhikkhuniyo ▁appicch ā ▁pe ▁tā ▁ujjhāy anti ▁khiyyanti ▁vi pā c enti
PA_pli-tv-bi-vb_pc44:1.4	“kathañhi nāma bhikkhuniyo gihiveyyāvaccaṁ karissantī”ti …pe…	▁kathañhi ▁nāma ▁bhikkhuniyo ▁gihi v eyyā va cc aṃ ▁kar issantīti ▁pe
PA_pli-tv-bi-vb_pc44:1.5	“saccaṁ kira, bhikkhave, bhikkhuniyo gihiveyyāvaccaṁ karontī”ti?	▁saccaṃ ▁kira ▁bhikkhave ▁bhikkhuniyo ▁gihi v eyyā va cc aṃ ▁karont īti
PA_pli-tv-bi-vb_pc44:1.6	“Saccaṁ, bhagavā”ti.	▁saccaṃ ▁bhagavā ti
PA_pli-tv-bi-vb_pc44:1.7	Vigarahi buddho bhagavā …pe…	▁vi ga ra hi ▁buddho ▁bhagavā ▁pe
PA_pli-tv-bi-vb_pc44:1.8	kathañhi nāma, bhikkhave, bhikkhuniyo gihiveyyāvaccaṁ karissanti.	▁kathañhi ▁nāma ▁bhikkhave ▁bhikkhuniyo ▁gihi v eyyā va cc aṃ ▁kar issanti
PA_pli-tv-bi-vb_pc44:1.9	Netaṁ, bhikkhave, appasannānaṁ vā pasādāya …pe…	▁netaṃ ▁bhikkhave ▁appa sann ānaṃ ▁vā ▁pasād āya ▁pe
PA_pli-tv-bi-vb_pc44:1.10	evañca pana, bhikkhave, bhikkhuniyo imaṁ sikkhāpadaṁ uddisantu—	▁evañca ▁pana ▁bhikkhave ▁bhikkhuniyo ▁imaṃ ▁sikkhāpadaṃ ▁uddis an tu
PA_pli-tv-bi-vb_pc44:1.11.1	“Yā pana bhikkhunī gihiveyyāvaccaṁ kareyya, pācittiyan”ti.	▁yā ▁pana ▁bhikkhunī ▁gihi v eyyā va cc aṃ ▁kareyya ▁pācittiy anti
PA_pli-tv-bi-vb_pc44:2.1.1	Yā panāti	▁yā ▁panā ti
PA_pli-tv-bi-vb_pc44:2.1.2	yā yādisā …pe…	▁yā ▁yā dis ā ▁pe
PA_pli-tv-bi-vb_pc44:2.1.3	bhikkhunīti	▁bhikkhunī ti
PA_pli-tv-bi-vb_pc44:2.1.4	…pe… ayaṁ imasmiṁ atthe adhippetā bhikkhunīti.	▁pe ▁ayaṃ ▁imasmiṃ ▁atthe ▁adhippetā ▁bhikkhunī ti
PA_pli-tv-bi-vb_pc44:2.1.5	Gihiveyyāvaccaṁ nāma	▁gihi v eyyā va cc aṃ ▁nāma
PA_pli-tv-bi-vb_pc44:2.1.6	agārikassa yāguṁ vā bhattaṁ vā khādanīyaṁ vā pacati, sāṭakaṁ vā veṭhanaṁ vā dhovati, āpatti pācittiyassa.	▁a gār ika ssa ▁yāgu ṃ ▁vā ▁bhatt aṃ ▁vā ▁ khādanīy aṃ ▁vā ▁pac ati ▁ sāṭak aṃ ▁vā ▁ veṭh anaṃ ▁vā ▁dhov ati ▁āpatti ▁pācittiy assa
PA_pli-tv-bi-vb_pc44:2.2.1	Anāpatti—	▁anāpatti
PA_pli-tv-bi-vb_pc44:2.2.2	yāgupāne,	▁yāgu pān e
PA_pli-tv-bi-vb_pc44:2.2.3	saṅghabhatte,	▁saṃgh abhatt e
PA_pli-tv-bi-vb_pc44:2.2.4	cetiyapūjāya,	▁cetiy a pūj āya
PA_pli-tv-bi-vb_pc44:2.2.5	attano veyyāvaccakarassa yāguṁ vā bhattaṁ vā khādanīyaṁ vā pacati, sāṭakaṁ vā veṭhanaṁ vā dhovati,	▁attano ▁v eyyā va cca kar assa ▁yāgu ṃ ▁vā ▁bhatt aṃ ▁vā ▁ khādanīy aṃ ▁vā ▁pac ati ▁ sāṭak aṃ ▁vā ▁ veṭh anaṃ ▁vā ▁dhov ati
PA_pli-tv-bi-vb_pc44:2.2.6	ummattikāya,	▁umm att ikāya
PA_pli-tv-bi-vb_pc44:2.2.7	ādikammikāyāti.	▁ādi kamm ikā yāti
PA_pli-tv-bi-vb_pc44:2.2.8	Catutthasikkhāpadaṁ niṭṭhitaṁ.	▁catutth asikkhāpad aṃ ▁niṭṭhitaṃ
